AAA             Area Aboriginal Advisors
AABM            Aggregate Abundance-Based Management
AAROM           Aboriginal Aquatic Resource and Oceans Management
ABAM            Area-Based Aquaculture Management
ACATS           Aboriginal Contribution Agreements Tracking System
ADGT            Aquatic Diagnostics, Genomics, and Technology
AFLP            Amplified Fragment Length Polymorphisms
AFS             Aboriginal Fisheries Strategy
AFSAR           Aboriginal Fund for Species at Risk
AHC             Area Harvest Committee
AHMS            Aboriginal Harvest Management System
AHRF            Aquatic Habitat Restoration Fund
AIS             Aquatic Invasive Species
AMD             Aquaculture Management Division
AO              Area Office(s)
APD             Aboriginal Programs Division
AQUIIS          Aquaculture Integrated Information System
ARDG            Associate Regional Director General
ATP             Allocation Transfer Program
BCSRIF          British Columbia Salmon Restoration and Innovation Fund
BIO             Bedford Institute of Oceanography
BMSY            Biomass at Maximum Sustainable Yield
C&P             Conservation & Protection Branch
CCG             Canadian Coast Guard
CCTAC           Canadian Commercial Total Allowable Catch
CE              Cumulative Effects
CEBP            Coastal Ecosystem Baseline Program
CFN             Coastal First Nations
CNFASR          Canada Nature Fund for Aquatic Species at Risk
COE             Centre of Expertise
COHO            Coho
ABM             Abundance-Based Management
COSEWIC         Committee on the Status of Endangered Wildlife in Canada
CPUE            Catch Per Unit Effort
CRB             Columbia River Basin
CREST           Catch and Release Estimation Survey Tool
CSAB            Commercial Salmon Advisory Board
CSAF            Commercial Salmon Allocation Framework
CSAP            Centre for Science Advice Pacific
CSAS            Canadian Science Advisory Secretariat
CSRS            Catch Statistic Reporting System
CTAC            Canadian Total Allowable Catch
CU              Conservation Unit
CWT             Coded wire tag
DBE             DIfference Between Estimates
DFO             Fisheries and Oceans Canada
AMDDFO          Aquaculture Management Division
DM              Deputy Minister
DMP             Dockside Monitoring Program
DU              Designatable Unit
DVS             Departmental Violations System
E-PRO           Enhancement Program
EBM             Ecosystem Based Management
EBSA            Ecological and Biological Sensitive Area
ECVI            East Coast Vancouver Island
EMB             Ecosystems Management Branch
ENPRO           Enhancement Project
EO              Economic Opportunity
EOS             Ecosystem Ocean Science
EPAD            Enhancement Planning and Assessment
ER              Exploitation Rate
ERAF            Ecological Risk Assessment Framework
ES              Ecosystem Stressors
ESD             Ecosystem Science Division
ESSR            Excess Salmon to Spawning Requirement
FA              Fisheries Act
FACTAP          Fisheries and Aquaculture Clean Technology Adoption Program
FEATS           Fisheries Enforcement Activity Tracking System
FFHPP           Fish and Fish Habitat Protection Program
FGP             Federal Geospatial Portal
FH              Fish Health Database
FHAS            Fish Health Audit and Surveillance System
FIA             Fraser Interior Area
FM              Fisheries Management Branch
FN              First Nation
FNFC            First Nations Fisheries Council
FNS             First Nations Summit
FO              Fisheries Officer
FOS             Fishery Operations System
FOS_ISE         Fishery Operations System - Commercial Salmon In-season Estimates
FOS_PSE         Fishery Operations System - Commercial Salmon Post-season Estimates
FRIS            Fisheries Regulations Information System
FRP             Fraser River Panel
FRRA            Fisheries Resources Reconciliation Agreement
FRSSI           Fraser River Sockeye Salmon Initiative
FSC             Food, Social and Ceremonial
FSCMA           Fraser Salmon Collaborative Management Agreement
FSMB            Fraser Salmon Management Board
FSMC            Fraser Salmon Management Council
G&C             Grants and Contributions
GEBCO           General Bathymetric Chart of the Oceans
GoC             Government of Canada
GSI             Genetic Stock Identification
HA              Harvest Agreement
HSP             Habitat Stewardship Program
IA              Impact Assessment
IAA             Indigenous Affairs Advisor
IAMC            Indigenous Advisory and Monitoring Committee
iARC            Internet Annual Recreational Catch reporting program
IFMP            Integrated Fisheries Management Plans
IHPC            Integrated Harvest Planning Committee
IIRT            Indigenous Interests Response Team
IK              Indigenous Knowledge
IKS             Indigenous Knowledge Systems
INSPECTIONSC&P  Inspection Database
IOS             Institute of Ocean Sciences
iREC            Internet Recreational Effort and Catch reporting program
IRP             Interdepartmental Recovery Fund
ISBM            Individual Stock-Based Management
ISC             Inside Southern Chum
ITQ             Individual Fishing Quota
JEC             Joint Enforcement Committee
JSIDS           Adult sockeye index data set
JSIDS           Juvenile sockeye index data set
KREST           Kept and Released Estimation Survey Tool
LAER            Low Abundance Exploitation Rate
LGS             Lower Strait of Georgia
LOA             Letter of Agreement
LRP             License Retirement Program
LRP             Limit Reference Point
MA              Management Adjustment
MCT             Marine Conservation Targets
MEQ             Marine Environmental Quality
MERCI           Management and Evaluation of River Catch Information
MM              Marine Mammals
MPA             Marine Protected Area
MPATT           Marine Protected Area Technical Team
MRP_ARCH        Mark Recovery Program - Archive
MRP_DE          Mark Recovery Program - Data Entry Interface - Database Component
